CountryCode,Region,Country,MapName,CountryArea,area_1m,area_2m,area_3m,area_4m,area_5m,percent_1m,percent_2m,percent_3m,percent_4m,percent_5m,Population,pop_1m,pop_2m,pop_3m,pop_4m,pop_5m,pop_percent_1m,pop_percent_2m,pop_percent_3m,pop_percent_4m,pop_percent_5m,pop_density_1m,pop_density_2m,pop_density_3m,pop_density_4m,pop_density_5m
URY,Latin America / Caribbean,Uruguay,w060s10,173985,1462,2248,2951,3639,4318,0.84,1.29,1.7,2.09,2.48,3337000,82885,113646,140009,173805,201020,2.48,3.41,4.2,5.21,6.02,56.69288646,50.55427046,47.44459505,47.76174773,46.55396017
VEN,Latin America / Caribbean,Venezuela,w100n40,911559,3962,6799,11040,15417,19209,0.43,0.75,1.21,1.69,2.11,24170000,235500,338101,453557,596423,745730,0.97,1.4,1.88,2.47,3.09,59.43967693,49.72804824,41.08306159,38.68606084,38.8219064
DZA,Middle East / North Africa,Algeria,w020n40,2302498,8412,8715,9020,9321,9620,0.37,0.38,0.39,0.4,0.42,30291000,171380,234314,290705,371685,446864,0.57,0.77,0.96,1.23,1.48,20.37327627,26.88628801,32.2289357,39.87608626,46.45155925
EGY,Middle East / North Africa,Egypt,e020n40,968071,6446,8907,11227,13376,15309,0.67,0.92,1.16,1.38,1.58,67884000,6296292,8160882,10110653,12017374,14147454,9.28,12.02,14.89,17.7,20.84,976.7750543,916.2324015,900.565868,898.4280801,924.1265922
IRN,Middle East / North Africa,Iran,e020n40,1590351,3184,5445,8241,11215,14135,0.2,0.34,0.52,0.71,0.89,70330000,240354,406278,572686,722502,866473,0.34,0.58,0.81,1.03,1.23,75.48806533,74.61487603,69.49229462,64.42282657,61.29982313
KWT,Middle East / North Africa,Kuwait,e020n40,17259,144,236,333,431,509,0.83,1.37,1.93,2.5,2.95,1914000,11429,16375,22516,27600,39722,0.6,0.86,1.18,1.44,2.08,79.36805556,69.38559322,67.61561562,64.03712297,78.03929273
LBY,Middle East / North Africa,Libya,w020n40,1611363,11048,11950,12803,13628,14445,0.69,0.74,0.79,0.85,0.9,5290000,156820,202293,250110,290829,334717,2.96,3.82,4.73,5.5,6.33,14.19442433,16.92828452,19.53526517,21.34054887,23.17182416
MAR,Middle East / North Africa,Morocco,w020n40,399559,1001,1165,1345,1532,1736,0.25,0.29,0.34,0.38,0.43,29634000,380844,461485,550148,663212,771015,1.29,1.56,1.86,2.24,2.6,380.4635365,396.1244635,409.0319703,432.9060052,444.1330645
OMN,Middle East / North Africa,Oman,e020n40,304190,806,1291,1801,2262,2660,0.26,0.42,0.59,0.74,0.87,2538000,27252,42069,62398,85497,111377,1.07,1.66,2.46,3.37,4.39,33.81141439,32.58636716,34.64630761,37.79708223,41.87105263
QAT,Middle East / North Africa,Qatar,e020n40,10973,296,545,856,1168,1454,2.7,4.97,7.8,10.64,13.25,565000,9051,12406,25107,41576,55379,1.6,2.2,4.44,7.36,9.8,30.5777027,22.76330275,29.33060748,35.59589041,38.08734525
SAU,Middle East / North Africa,Saudi Arabia,e020n40,1938837,2822,4199,5636,7031,8377,0.15,0.22,0.29,0.36,0.43,20346000,403036,602309,841248,1102031,1349536,1.98,2.96,4.13,5.42,6.63,142.8192771,143.4410574,149.2633073,156.7388707,161.1001552
ARE,Middle East / North Africa,United Arab Emirates,e020n40,74777,713,1116,1654,2360,3129,0.95,1.49,2.21,3.16,4.18,2606000,119581,164176,211191,255431,306088,4.59,6.3,8.1,9.8,11.75,167.7152875,147.1111111,127.685006,108.2334746,97.82294663
TUN,Middle East / North Africa,Tunisia,w020n40,147882,1602,2026,2412,2754,3074,1.08,1.37,1.63,1.86,2.08,9459000,462490,566649,663122,772427,899951,4.89,5.99,7.01,8.17,9.51,288.6953808,279.6885489,274.9262023,280.4745824,292.7621991
ESH,Middle East / North Africa,Western Sahara,w020n40,269600,761,979,1180,1362,1535,0.28,0.36,0.44,0.51,0.57,190000,286,390,760,945,1212,0.15,0.21,0.4,0.5,0.64,0.375821288,0.398365679,0.644067797,0.693832599,0.789576547
YEM,Middle East / North Africa,Yemen,e020n40,415196,606,850,1148,1473,1800,0.15,0.2,0.28,0.35,0.43,18349000,111983,139481,167523,203497,227928,0.61,0.76,0.91,1.11,1.24,184.790429,164.0952941,145.9259582,138.1513917,126.6266667
BEN,Sub-Saharan Africa,Benin,w020n40,115828,612,881,1107,1311,1497,0.53,0.76,0.96,1.13,1.29,6272000,246162,343896,436542,610604,766704,3.92,5.48,6.96,9.74,12.22,402.2254902,390.3473326,394.3468835,465.754386,512.1603206
COG,Sub-Saharan Africa,"Congo, Rep.",w020n40,343235,44,54,68,100,161,0.01,0.02,0.02,0.03,0.05,3018000,2841,2955,10075,12852,21608,0.09,0.1,0.33,0.43,0.72,64.56818182,54.72222222,148.1617647,128.52,134.2111801
COD,Sub-Saharan Africa,"Congo, Dem. Rep.",w020n40,2313414,62,117,565,827,1116,0,0.01,0.02,0.04,0.05,50948000,14205,21444,28118,32602,35239,0.03,0.04,0.06,0.06,0.07,229.1129032,183.2820513,49.76637168,39.42200726,31.57616487
CMR,Sub-Saharan Africa,Cameroon,w020n40,465765,101,124,170,260,408,0.02,0.03,0.04,0.06,0.09,14876000,2761,26406,46319,74839,96768,0.02,0.18,0.31,0.5,0.65,27.33663366,212.9516129,272.4647059,287.8423077,237.1764706
GNQ,Sub-Saharan Africa,Equatorial Guinea,w020n40,27104,26,44,72,109,148,0.1,0.16,0.27,0.4,0.55,457000,466,1395,2156,3429,4217,0.1,0.31,0.47,0.75,0.92,17.92307692,31.70454545,29.94444444,31.4587156,28.49324324
ETH,Sub-Saharan Africa,Ethiopia,e020n40,1123714,9241,9449,9736,10089,10426,0.82,0.84,0.87,0.9,0.93,62908000,233919,237452,241515,247583,252826,0.37,0.38,0.38,0.39,0.4,25.31316957,25.12985501,24.80638866,24.53989494,24.24956839
GMB,Sub-Saharan Africa,"Gambia, The",w020n40,10838,144,377,837,1301,1639,1.33,3.48,7.72,12,15.12,1303000,45794,108335,182072,244131,291532,3.51,8.31,13.97,18.74,22.37,318.0138889,287.3607427,217.5292712,187.6487317,177.8718731
GAB,Sub-Saharan Africa,Gabon,w020n40,265146,501,655,928,1366,1946,0.19,0.25,0.35,0.52,0.73,1230000,6119,6851,19660,39054,57222,0.5,0.56,1.6,3.18,4.65,12.21357285,10.45954198,21.18534483,28.59004392,29.4049332
GHA,Sub-Saharan Africa,Ghana,w020n40,231730,927,1217,1500,1766,2007,0.4,0.53,0.65,0.76,0.87,19306000,150143,224383,317701,404992,503424,0.78,1.16,1.65,2.1,2.61,161.9665588,184.3738702,211.8006667,229.3272933,250.8340807
GIN,Sub-Saharan Africa,Guinea,w020n40,245860,501,886,1414,1997,2570,0.2,0.36,0.58,0.81,1.05,8154000,52659,145588,281683,365981,427999,0.65,1.79,3.45,4.49,5.25,105.1077844,164.3205418,199.2100424,183.2653981,166.5365759
CIV,Sub-Saharan Africa,Ivory Coast,w020n40,320329,639,772,939,1138,1363,0.2,0.24,0.29,0.36,0.43,16013000,217073,266158,312107,396557,518012,1.36,1.66,1.95,2.48,3.23,339.7073552,344.7642487,332.3823216,348.4683656,380.0528247
