CountryCode,Region,Country,CountryArea,area_1m,area_2m,area_3m,area_4m,area_5m,percent_1m,percent_2m,percent_3m,percent_4m,percent_5m
CHN,East Asia,China,9198103,31598,49384,70304,93815,116606,0.34,0.54,0.76,1.02,1.27
IDN,East Asia,Indonesia,1898776,13861,22150,35090,53526,77205,0.73,1.17,1.85,2.82,4.07
PRK,East Asia,North Korea,122440,262,481,868,1496,3038,0.21,0.39,0.71,1.22,2.48
KOR,East Asia,South Korea,98977,536,895,1350,1927,2637,0.54,0.90,1.36,1.95,2.66
MYS,East Asia,Malaysia,329941,745,1334,2500,4305,6638,0.23,0.40,0.76,1.30,2.01
PNG,East Asia,Papua New Guinea,464043,659,925,1359,2029,3121,0.14,0.20,0.29,0.44,0.67
PHL,East Asia,Philippines,295408,1735,2837,4526,6709,9078,0.59,0.96,1.53,2.27,3.07
THA,East Asia,Thailand,513618,1607,3685,7578,12924,18498,0.31,0.72,1.48,2.52,3.60
TWN,East Asia,Taiwan China,36223,574,868,1204,1552,1882,1.58,2.40,3.32,4.28,5.20
VNM,East Asia,Vietnam,328535,16977,28090,38860,47080,52926,5.17,8.55,11.83,14.33,16.11
BGD,South Asia,Bangladesh,136305,2062,3467,6365,11166,17611,1.51,2.54,4.67,8.19,12.92
LKA,South Asia,Sri Lanka,65830,311,571,1042,1667,2341,0.47,0.87,1.58,2.53,3.56
IND,South Asia,India,3209716,7811,13562,21267,30419,39520,0.24,0.42,0.66,0.95,1.23
PAK,South Asia,Pakistan,785320,3038,5692,8939,11726,14140,0.39,0.72,1.14,1.49,1.80
